2026-07-19 14:12:41.971 [main] INFO  com.elearning.ELearningApplication - Starting ELearningApplication using Java 23.0.1 with PID 25092 (C:\Users\chath\Cloud computing group project\Cloud-Based-E-Learning-Platform\Backend\target\classes started by chath in C:\Users\chath\Cloud computing group project\Cloud-Based-E-Learning-Platform\Backend)
2026-07-19 14:12:41.997 [main] DEBUG com.elearning.ELearningApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-07-19 14:12:42.001 [main] INFO  com.elearning.ELearningApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-19 14:12:44.538 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-07-19 14:12:44.878 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 295 ms. Found 11 JPA repository interfaces.
2026-07-19 14:12:46.545 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-19 14:12:46.597 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-19 14:12:46.598 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-07-19 14:12:46.940 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-19 14:12:46.941 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4755 ms
2026-07-19 14:12:47.405 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-07-19 14:12:47.573 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-07-19 14:12:47.663 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-07-19 14:12:48.281 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-07-19 14:12:48.360 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-07-19 14:12:54.413 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@399af6dc
2026-07-19 14:12:54.420 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-07-19 14:12:54.941 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-07-19 14:12:54.943 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-07-19 14:12:57.876 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-07-19 14:13:12.058 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-07-19 14:13:14.193 [main] INFO  c.e.service.LambdaGradingService - Using default AWS credentials provider chain for Lambda client.
2026-07-19 14:13:16.645 [main] INFO  c.e.service.LambdaGradingService - AWS Lambda Client initialized successfully with region: ap-south-1
2026-07-19 14:13:16.830 [main] INFO  com.elearning.service.S3Service - Using default AWS credentials provider chain for S3 client and presigner.
2026-07-19 14:13:18.105 [main] INFO  com.elearning.service.S3Service - AWS S3 Presigner and S3 Client initialized successfully with region: ap-south-1
2026-07-19 14:13:18.720 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-07-19 14:13:18.975 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: adde3c49-cf27-4fdb-bbe9-46f5a2270abd

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-07-19 14:13:21.077 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35c646b5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6351efa6, org.springframework.security.web.context.SecurityContextHolderFilter@7b0d42b6, org.springframework.security.web.header.HeaderWriterFilter@15db4dc, org.springframework.web.filter.CorsFilter@6c07666f, org.springframework.security.web.authentication.logout.LogoutFilter@673218b2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a73f164, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@fbb585e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@349e166, org.springframework.security.web.access.ExceptionTranslationFilter@14b3976, org.springframework.security.web.access.intercept.AuthorizationFilter@4873c645]
2026-07-19 14:13:22.074 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-07-19 14:13:22.106 [main] INFO  com.elearning.ELearningApplication - Started ELearningApplication in 42.076 seconds (process running for 43.455)
